2014, CLE, AL, 19, 38, 33, 2, 4, 0, 0, 0, 3, 4, 13, 0, 0, 0, .121, .211, .121, .332, 
2015, CLE, AL, 7, 20, 19, 0, 6, 1, 0, 0, 2, 0, 7, 0, 0, 1, .316, .350, .368, .718, 
2016, CLE, AL, 9, 6, 6, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, .000, .000, .000, .000, 
2017, MIL, NL, 133, 311, 279, 40, 74, 15, 2, 16, 52, 25, 94, 0, 0, 4, .265, .331, .505, .837, 
2018, MIL, NL, 149, 566, 492, 80, 135, 25, 0, 35, 108, 58, 143, 0, 0, 6, .274, .352, .539, .890, 
2019, 2 Teams, 131, 369, 314, 39, 74, 12, 0, 12, 50, 43, 81, 0, 0, 2, .236, .325, .389, .714, 
2019, TB, AL, 37, 107, 92, 13, 24, 3, 0, 4, 16, 12, 22, 0, 0, 0, .261, .336, .424, .760, 
2019, MIL, NL, 94, 262, 222, 26, 50, 9, 0, 8, 34, 31, 59, 0, 0, 2, .225, .320, .374, .694, 
2020, MIA, NL, 25, 106, 96, 11, 26, 5, 0, 4, 20, 7, 19, 0, 0, 0, .271, .311, .448, .759, 
7 Seasons, 473, 1416, 1239, 172, 319, 58, 2, 67, 235, 137, 358, 0, 0, 13, .257, .332, .470, .802, 
2014, CLE, AL, 38, 4, 18, 0, 1, .190, 0, 1, 6, 167, 4.395, .342, .000, .308, .000, .000, 0, 
2015, CLE, AL, 20, 7, 2, 0, 0, .500, 1, 0, 2, 80, 4.000, .350, .000, .---, .053, .053, 0, 
2016, CLE, AL, 6, 0, 2, 0, 0, .000, 0, 0, 0, 31, 5.167, .167, .000, .---, .000, .000, 0, 
2017, MIL, NL, 311, 141, 119, 0, 3, .337, 33, 8, 36, 1319, 4.241, .302, .051, .266, .240, .240, 0, 
2018, MIL, NL, 566, 265, 247, 0, 10, .309, 60, 19, 87, 2432, 4.297, .253, .062, .406, .264, .264, 2, 
2019, 2 Teams, 369, 122, 138, 0, 7, .272, 1518, 
2019, TB, AL, 107, 39, 40, 0, 3, .290, 7, 1, 12, 457, 4.271, .206, .037, .545, .163, .163, 0, 
2019, MIL, NL, 262, 83, 98, 0, 4, .264, 17, 11, 41, 1061, 4.050, .225, .031, .525, .149, .149, 0, 
2020, MIA, NL, 106, 43, 41, 0, 3, .289, 9, 5, 13, 413, 3.896, .179, .038, .368, .177, .177, 0, 
1416, 582, 567, 0, 24, .301, 127, 45, 197, 5960, 4.209, .253, .047, .383, .212, .212, 2, 
