2012, OAK, AL, 129, 540, 487, 70, 142, 25, 5, 23, 82, 43, 102, 16, 4, 7, .292, .356, .505, .861, 540, 246, 186, 0, 3, .326, 53, 9, 74, 1979, 3.665, .189, .043, .422, .214, .214, 1, 
2013, OAK, AL, 135, 574, 529, 74, 127, 21, 4, 26, 80, 37, 137, 7, 7, 5, .240, .294, .442, .737, 574, 234, 237, 0, 3, .274, 51, 8, 89, 2169, 3.779, .239, .045, .270, .202, .202, 0, 
2014, 2 Teams, 152, 645, 600, 89, 156, 36, 6, 22, 100, 35, 128, 7, 2, 3, .260, .301, .450, .751, 270, 266, 0, 7, .293, 64, 13, 104, 2412, 3.740, .198, .034, .273, .190, .190, 1, 
2014, OAK, AL, 101, 432, 399, 62, 102, 26, 3, 17, 67, 28, 80, 3, 2, 1, .256, .303, .464, .767, 432, 185, 180, 0, 4, .278, 46, 8, 69, 1632, 3.778, .185, .039, .350, .208, .208, 0, 
2014, BOS, AL, 51, 213, 201, 27, 54, 10, 3, 5, 33, 7, 48, 4, 0, 2, .269, .296, .423, .719, 213, 85, 86, 0, 3, .325, 18, 5, 35, 780, 3.662, .225, .023, .146, .154, .154, 1, 
2015, 2 Teams, 159, 676, 633, 101, 184, 42, 6, 35, 105, 33, 141, 7, 5, 5, .291, .328, .542, .870, 343, 253, 0, 5, .323, 83, 14, 107, 2722, 4.027, .209, .052, .234, .251, .251, 0, 
2015, DET, AL, 102, 427, 403, 62, 118, 28, 2, 18, 61, 19, 87, 3, 4, 1, .293, .323, .506, .829, 427, 204, 163, 0, 4, .331, 48, 9, 72, 1688, 3.953, .204, .042, .218, .213, .213, 0, 
2015, NYM, NL, 57, 249, 230, 39, 66, 14, 4, 17, 44, 14, 54, 4, 1, 4, .287, .337, .604, .942, 249, 139, 90, 0, 1, .306, 35, 5, 35, 1034, 4.153, .217, .068, .259, .317, .317, 0, 
2016, NYM, NL, 132, 543, 479, 72, 134, 25, 1, 31, 86, 51, 108, 3, 1, 7, .280, .354, .530, .884, 543, 254, 194, 0, 6, .298, 57, 14, 87, 2193, 4.039, .199, .057, .472, .251, .251, 1, 
2017, NYM, NL, 81, 321, 291, 46, 85, 17, 2, 17, 42, 26, 61, 0, 1, 2, .292, .352, .540, .892, 321, 157, 120, 0, 2, .316, 36, 7, 57, 1317, 4.103, .190, .053, .426, .247, .247, 0, 
2018, NYM, NL, 38, 157, 141, 20, 37, 6, 0, 9, 29, 13, 50, 3, 0, 1, .262, .325, .496, .821, 157, 70, 56, 0, 2, .333, 15, 1, 23, 592, 3.771, .318, .057, .260, .234, .234, 0, 
2020, NYM, NL, 8, 34, 31, 3, 5, 1, 0, 2, 4, 2, 15, 0, 0, 1, .161, .235, .387, .622, 34, 12, 19, 0, 0, .214, 3, 1, 3, 135, 3.971, .441, .059, .133, .226, .226, 0, 
8 Seasons, 834, 3490, 3191, 475, 870, 173, 24, 165, 528, 240, 742, 43, 20, 31, .273, .327, .497, .824, 3490, 1586, 1331, 0, 28, .305, 362, 67, 544, 13519, 3.874, .213, .047, .323, .224, .224, 3, 
